,brand,model,price,biz30day,total_sold_price
302,toplife/好生活,TL-7233DP,1180.0,11.0,12980.0
303,toplife/好生活,TL-783B,999.0,22.0,21978.0
304,ukoeo,PR6,1080.0,3.0,3240.0
305,ukoeo,PR9,399.0,1.0,399.0
306,viomi/云米,YM-BH01,1499.0,24.0,35976.0
307,westinghouse/西屋,A1,3180.0,6.0,19080.0
308,whirlpool/惠而浦,WBL-MS302D,208.0,18.0,3752.0
309,wmf,KULT X,350.0,22.0,7705.0
310,信言,AMT2516,20.0,184.0,3772.44
311,凯云,1251-3,120.0,106.0,12795.2
312,凯云,KY- 602,58.0,5631.0,330485.59
313,凯云,KY-3,118.0,2005.0,238195.59
314,凯福赛,207,158.0,1.0,158.0
315,凯云,KY-601,120.0,61.0,7339.0
316,凯云,LM-FS501,139.0,1.0,139.0
317,奥诺斯,AMS-998,406.0,13.0,5288.4
318,合慧,H1,218.0,181.0,39458.0
319,合慧,H3,499.0,23.0,11477.0
320,合慧,HH201,288.0,31.0,8928.0
321,喜贡,HL-1878,299.0,2605.0,778895.0
322,嘉和,MB-1001,82.0,3144.0,260323.2
323,奥诺斯,ANS-F900,498.0,18.0,8964.0
324,小太阳,CS-767-5D,799.0,4.0,3196.0
325,小太阳,TM-3S,399.0,84.0,33516.0
326,小太阳,TM-803T,480.0,16.0,7680.0
327,山雄,XZ-PB6818,339.0,1.0,339.0
328,慧浦,CB-502,399.0,24.0,9576.0
329,慧浦,HP-010,168.0,51.0,8568.0
330,慧浦,YS-001,298.0,15.0,4470.0
331,扬子,MB-1201J2,79.0,221.0,17459.0
332,朋客,SG-350B,70.0,785.0,55578.0
333,朋客,SG-350C,82.0,847.0,70131.6
334,朋客,SG-350D,103.0,194.0,20059.2
335,朋客,SG-350F,70.0,238.0,16760.4
336,格明,K-06,499.0,4.0,1996.0
337,格明,K28,499.0,169.0,84331.0
338,欧麦斯,P802,899.0,7.0,6293.0
339,米技,HB3001,399.0,1.0,399.0
340,欧麦斯,P806,1280.0,3.0,3840.0
341,水花,MB-1001,84.0,3154.0,265327.19
342,水花,MB-1301K13,118.0,218.0,25898.4
343,汉宝,HB-J303,139.0,175.0,24325.0
344,沃佳健,HH-1001,198.0,92.0,18216.0
345,盛世旺牛,B6,235.0,1.0,235.0
346,盛世旺牛,HB-J801,331.0,2.0,662.4
347,盛世旺牛,HB-J808,175.0,14.0,2455.0
